CleanArea,CombinedArea,Country,lat,lng
Okinawa Prefecture,"Okinawa Prefecture, JAPAN",JAPAN,26.5707754,128.0255901
Tarawa,"Tarawa, KIRIBATI",KIRIBATI,1.4845542,172.9689648
District,"District, ISRAEL",ISRAEL,31.962246,34.880383
Bay of Biscay,"Bay of Biscay, FRANCE",FRANCE,46.0,2.0
Quintana Roo,"Quintana Roo, MEXICO",MEXICO,19.6666671,-88.5000001
Exuma Islands,"Exuma Islands, BAHAMAS",BAHAMAS,24.25,-76.5
Saint Paul,"Saint Paul, REUNION",REUNION,-21.0006099,55.2771585
Taitung,"Taitung, TAIWAN",TAIWAN,22.7553667,121.1506
Kingston Parish,"Kingston Parish, JAMAICA",JAMAICA,17.9692835,-76.7647923
Santa Cruz Island,"Santa Cruz Island, ECUADOR",ECUADOR,-0.6288151,-90.3638752
Eleuthera,"Eleuthera, BAHAMAS",BAHAMAS,24.93038,-76.1921181
St Catherine,"St Catherine, JAMAICA",JAMAICA,18.0408943,-77.0293219
Palawan,"Palawan, PHILIPPINES",PHILIPPINES,10.0,118.75
Mercury Islands,"Mercury Islands, NEW ZEALAND",NEW ZEALAND,-36.62302,175.9330593
Delta,"Delta, NIGERIA",NIGERIA,5.5273061,6.1784167
Vava u,"Vava u, TONGA",TONGA,-18.66667,-174.0
Inner Hebrides,"Inner Hebrides, SCOTLAND",SCOTLAND,56.5,-6.0
Trois Bassins,"Trois Bassins, REUNION",REUNION,-21.0984814,55.2646993
British Colombia,"British Colombia, CANADA",CANADA,55.001251,-125.002441
Guerrero,"Guerrero, MEXICO",MEXICO,17.666667,-100.0
Saint Benoit,"Saint Benoit, REUNION",REUNION,-21.1307379,55.5364801
Tabuk Province,"Tabuk Province, SAUDI ARABIA",SAUDI ARABIA,28.4012536,36.567049
Antofagasta Province,"Antofagasta Province, CHILE",CHILE,-23.6662865,-70.3950322
St John s,"St John s, ANTIGUA",ANTIGUA,28.35436,-13.91724
Santa Elena,"Santa Elena, ECUADOR",ECUADOR,-2.1954593,-80.5669167
New Britain,"New Britain, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-5.2245435,151.5570784
Bois Blanc,"Bois Blanc, REUNION",REUNION,-21.1970506,55.8194011
Moray,"Moray, SCOTLAND",SCOTLAND,57.416667,-3.25
Puerto Rico,"Puerto Rico, USA",USA,18.2214149,-66.4132818
Saman Province,"Saman Province, DOMINICAN REPUBLIC",DOMINICAN REPUBLIC,19.5528154,-71.0731182
Coast Province,"Coast Province, KENYA",KENYA,-1.2871722,36.747486
Central Province,"Central Province, PAPUA NEW GUINEA",PAPUA NEW GUINEA,32.0709876,-84.2409905
Primorsky Krai,"Primorsky Krai, RUSSIA",RUSSIA,45.0819456,134.726645
Peter the Great Bay Khasan Primorsky Krai Far East,"Peter the Great Bay Khasan Primorsky Krai Far East, RUSSIA",RUSSIA,60.0,100.0
Telyakovsky Bay Khasan Primorsky Krai Far East,"Telyakovsky Bay Khasan Primorsky Krai Far East, RUSSIA",RUSSIA,60.0,100.0
Praslin,"Praslin, SEYCHELLES",SEYCHELLES,-4.3250708,55.7356082
Sucre,"Sucre, COLUMBIA",COLUMBIA,9.0,-75.0
Middle Caicos,"Middle Caicos, TURKS & CAICOS",TURKS & CAICOS,21.788192,-71.734542
Caicos Bank,"Caicos Bank, TURKS & CAICOS",TURKS & CAICOS,21.5,-72.217
Cornwall,"Cornwall, UNITED KINGDOM",UNITED KINGDOM,50.4433489,-4.6246566
San Andr s archipelago,"San Andr s archipelago, COLUMBIA",COLUMBIA,34.00071,-81.03481
Kedah,"Kedah, MALAYSIA",MALAYSIA,5.8098265,100.6715035
Umm al Qaywayan Province,"Umm al Qaywayan Province, UNITED ARAB EMIRATES (UAE)",UNITED ARAB EMIRATES (UAE),23.75,54.5
Viti Levu,"Viti Levu, FIJI",FIJI,-17.7933831,177.9782252
South Sinai Peninsula,"South Sinai Peninsula, EGYPT",EGYPT,29.5231696,33.8054726
Loyalty Islands,"Loyalty Islands, NEW CALEDONIA",NEW CALEDONIA,-20.9327968,167.1657726
Maine,"Maine, USA",USA,45.709097,-68.8590201
Virginia,"Virginia, USA",USA,37.1232245,-78.4927721
Ha api,"Ha api, TONGA",TONGA,-20.0,-175.0
Province,"Province, SOLOMON ISLANDS",SOLOMON ISLANDS,-7.9999999,158.9999999
Jeju Province,"Jeju Province, SOUTH KOREA",SOUTH KOREA,33.3939924,126.5626653
Binh Dinh Province,"Binh Dinh Province, VIETNAM",VIETNAM,14.1525201,108.9239618
Antsiranana Province,"Antsiranana Province, MADAGASCAR",MADAGASCAR,-13.9745753,49.2308524
Sinai Peninsula,"Sinai Peninsula, EGYPT",EGYPT,29.5231696,33.8054726
Vanua Levu,"Vanua Levu, FIJI",FIJI,-16.5788332,179.1930927
Merizo,"Merizo, GUAM",GUAM,13.2682975,144.6726106
Rio Grande Do Sul,"Rio Grande Do Sul, BRAZIL",BRAZIL,-29.8425284,-53.7680577
Dubai,"Dubai, UNITED ARAB EMIRATES (UAE)",UNITED ARAB EMIRATES (UAE),25.2276117,55.1750775
Province,"Province, SOUTH AFRICA",SOUTH AFRICA,-25.7965065,25.6268372
Torres Strait,"Torres Strait, AUSTRALIA",AUSTRALIA,-10.416667,142.166667
Eastern Province,"Eastern Province, SOUTH AFRICA",SOUTH AFRICA,-25.78851,28.27745
Maputo Province,"Maputo Province, MOZAMBIQUE",MOZAMBIQUE,-25.966213,32.56745
Bocas,"Bocas, PANAMA",PANAMA,9.3040914,-82.1284388
Fife,"Fife, SCOTLAND",SCOTLAND,56.3333331,-3.0000001
Devon,"Devon, UNITED KINGDOM",UNITED KINGDOM,50.724165,-3.6607958
Makira Ulawa Province,"Makira Ulawa Province, SOLOMON ISLANDS",SOLOMON ISLANDS,-10.2835257,161.7280731
Mombasa,"Mombasa, KENYA",KENYA,-4.05052,39.667169
Catalunya,"Catalunya, SPAIN",SPAIN,41.8523094,1.5745043
St Johns Reef,"St Johns Reef, EGYPT",EGYPT,25.309294,34.8605916
Green Island,"Green Island, TAIWAN",TAIWAN,22.6562972,121.4909443
North Region,"North Region, GUAM",GUAM,7.0697159,125.5134451
Batangas province,"Batangas province, PHILIPPINES",PHILIPPINES,15.1716672,120.5897636
Strait of Malacca,"Strait of Malacca, MALAYSIA",MALAYSIA,3.0,101.0
Guantanamo Province,"Guantanamo Province, CUBA",CUBA,20.1431797,-75.2034783
Maranh o,"Maranh o, BRAZIL",BRAZIL,-10.0,-55.0
Red Sea,"Red Sea, EGYPT",EGYPT,24.6601831,34.1399929
Batanes Province,"Batanes Province, PHILIPPINES",PHILIPPINES,14.6098411,121.0104299
Luzon,"Luzon, PHILIPPINES",PHILIPPINES,15.5919633,120.7397903
Northern Territory,"Northern Territory, AUSTRALIA",AUSTRALIA,-19.8516101,133.2303375
Split Dalmatia County,"Split Dalmatia County, CROATIA",CROATIA,43.0736102,16.027989
North Devon,"North Devon, ENGLAND",ENGLAND,51.061456,-3.9239233
US Virgin Islands,"US Virgin Islands, USA",USA,17.7289564,-64.759016
San Carlos,"San Carlos, PANAMA",PANAMA,8.472706,-79.9561983
Cabo San Lucas,"Cabo San Lucas, MEXICO",MEXICO,22.8938884,-109.9200604
Sussex,"Sussex, UNITED KINGDOM",UNITED KINGDOM,50.9445139,-0.0622673
Bahia,"Bahia, BRAZIL",BRAZIL,-12.285251,-41.9294776
Easter Ross,"Easter Ross, SCOTLAND",SCOTLAND,56.3729769,-4.0086689
Yasawa Islands,"Yasawa Islands, FIJI",FIJI,-17.2909471,177.1257858
Northern Bahamas,"Northern Bahamas, BAHAMAS",BAHAMAS,25.04082,-77.37122
Tokyo Bay,"Tokyo Bay, JAPAN",JAPAN,35.6828387,139.7594549
Baja California,"Baja California, MEXICO",MEXICO,30.0338923,-115.1425107
Green Bay,"Green Bay, BRITISH VIRGIN ISLANDS",BRITISH VIRGIN ISLANDS,18.4024395,-64.5661642
Marovo Lagoon,"Marovo Lagoon, SOLOMON ISLANDS",SOLOMON ISLANDS,-8.44353,157.91556
Territory of Cocos Keeling Islands,"Territory of Cocos Keeling Islands, AUSTRALIA",AUSTRALIA,-12.0728315,96.8409375
Oslo Fjord,"Oslo Fjord, NORWAY",NORWAY,59.9061668,10.7521662
Kent,"Kent, ENGLAND",ENGLAND,51.2070748,0.7210362
Bird Island,"Bird Island, SEYCHELLES",SEYCHELLES,-3.718812,55.2062964
Providenciales,"Providenciales, TURKS & CAICOS",TURKS & CAICOS,21.7965249,-72.1785009
Bimini Islands,"Bimini Islands, BAHAMAS",BAHAMAS,25.70597,-79.2681
Muhafazat Hadramawt,"Muhafazat Hadramawt, YEMEN",YEMEN,16.0,49.0
Cook islans,"Cook islans, NEW ZEALAND",NEW ZEALAND,-42.0,174.0
Surigao del Norte,"Surigao del Norte, PHILIPPINES",PHILIPPINES,9.666667,125.633333
