Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
263,1190,0,50,3051,N,103,1268
263,1190,0,13,1573,N,219,702
263,1190,0,2,385,N,214,1268
263,1190,1,40,296,N,279,597
263,1342,0,14,339,N,131,892
315,553,1,52,2285,N,177,1268
512,417,1,31,1137,N,255,843
95,1153,1,15,666,N,25,710
263,1153,1,6,2209,N,208,1268
808,1152,1,80,2841,N,38,1278
497,1190,1,3,2289,N,103,1468
756,1045,1,13,1493,UNKNOWN,278,776
756,1045,1,17,3353,N,278,776
263,1045,1,17,2311,N,284,713
288,1442,0,63,670,Y,79,1195
140,1409,1,54,37,UNKNOWN,284,1063
263,417,1,26,1897,N,284,467
263,924,1,80,1086,UNKNOWN,284,1268
315,1036,0,38,2209,N,82,1268
497,1153,1,13,3324,N,230,1268
263,1409,1,80,2191,UNKNOWN,284,1063
497,1153,1,33,2619,N,82,1268
763,1409,1,79,2193,N,284,898
158,1153,3,80,455,UNKNOWN,278,1063
263,160,1,10,1740,N,136,1268
773,290,1,37,670,Y,255,1268
263,1409,1,3,3553,N,255,1268
681,417,1,80,3043,N,277,628
648,1190,1,33,2205,N,284,1044
694,745,1,12,3050,N,230,1268
694,1045,1,23,1177,N,185,1268
63,1423,0,80,378,N,163,1268
287,366,1,59,2229,UNKNOWN,284,872
734,1153,1,80,2673,UNKNOWN,110,872
589,1442,0,37,1162,N,131,1268
497,1479,1,32,2715,N,269,1268
96,1190,1,33,1774,N,284,1044
370,733,1,80,2755,N,284,1268
315,1153,1,80,1615,N,147,999
315,1153,0,6,2368,N,90,1268
741,1045,1,80,510,N,284,718
268,417,1,80,2515,N,284,838
315,825,1,40,2368,N,278,1182
589,1153,1,80,1531,N,284,1468
589,1423,1,2,1529,N,255,587
589,1045,1,23,1611,N,90,340
370,732,1,80,2669,N,278,1351
286,1190,0,30,1683,N,284,1095
315,825,1,66,2715,N,278,530
497,1153,1,35,2777,N,25,660
570,939,1,24,3187,N,284,1163
763,971,1,51,670,Y,284,1268
497,417,3,80,2791,N,74,1364
763,765,1,17,447,N,284,667
244,1201,0,13,1616,N,278,1268
269,1036,1,48,1670,N,67,747
263,1153,1,80,3205,N,255,1268
263,1190,0,80,2034,N,82,1268
263,1153,1,19,1644,N,284,1115
497,1153,1,11,1408,N,223,692
263,1153,0,79,2098,UNKNOWN,82,1063
315,1190,1,47,1524,N,82,1268
263,1423,0,19,1412,N,147,361
333,417,1,10,373,N,11,1268
806,1045,1,43,2184,N,284,1268
315,155,1,1,1563,N,160,1268
808,1153,1,34,1737,N,163,1363
263,1153,1,12,1685,N,154,464
263,1153,1,12,1865,N,143,1113
333,458,0,27,670,Y,284,1268
315,1153,1,24,1870,UNKNOWN,234,872
315,1190,1,36,3317,N,90,1242
158,732,1,80,2793,N,82,794
682,173,0,79,1486,N,192,1268
315,1153,1,16,1952,N,71,1180
333,417,1,80,363,N,284,1268
806,1153,1,9,1149,N,199,1268
263,155,1,13,79,N,124,1268
741,1423,1,4,1123,N,64,419
263,1153,1,5,3345,N,43,598
263,1153,1,13,1492,N,192,600
589,1036,0,64,1514,N,255,1268
158,733,1,80,2669,N,284,1324
263,1153,1,5,2207,N,198,1511
315,1045,1,18,3333,N,179,1179
263,1423,1,3,3489,N,110,415
263,850,1,7,1414,N,32,1268
158,732,1,80,2368,N,284,780
263,1190,1,80,1622,N,230,1268
263,1153,1,11,1413,N,163,1268
497,1153,1,34,2253,N,19,491
158,1108,0,43,2801,N,208,1300
158,732,1,20,1476,N,158,791
497,1152,1,56,1417,N,90,1334
682,1409,1,80,3157,N,185,416
574,1423,0,29,1857,N,43,1533
763,1045,1,80,2004,N,284,1153
158,1153,0,47,2843,N,71,1300
158,1153,1,12,2807,N,64,1299
263,1409,1,80,3719,UNKNOWN,238,1063
497,1153,1,30,3331,N,203,1268
682,1153,1,6,1379,N,110,415
263,1442,0,1,1756,N,172,354
158,732,1,13,2666,N,32,1309
58,1190,1,1,2230,UNKNOWN,82,1063
158,1045,1,50,3194,N,38,792
497,1153,1,45,1574,N,17,1278
296,1153,1,39,2246,N,284,1268
780,1153,1,32,1404,UNKNOWN,284,1268
263,1153,1,16,2224,N,230,580
682,553,0,27,69,UNKNOWN,66,1132
734,932,1,38,670,Y,64,1380
158,732,1,23,2437,N,284,850
780,1153,1,32,1897,N,284,634
763,1153,1,37,323,N,284,693
244,1153,1,26,2368,N,284,1278
