Area,Activity,Sex ,Age,Injury,Fatal(Y/N),Time,Species 
California,Kayak Fishing,M,22,Non_Fatal,N,Morning,"White shark, 13'"
California,Spearfishing,M,57,Non_Fatal,N,Morning,Hammerhead shark. 6' to 7'
New South Wales,Surfing,M,52,Non_Fatal,N,Morning,White shark
Florida,Surfing,M,25,Non_Fatal,N,Evening,"Blacktip or spinner shark, 4'"
Tasmania,Scallop diving on hookah,M,46,FATAL,Y,Morning,"White shark, 3.9 to 4.2 m"
California,Surfing,M,38,Non_Fatal,N,Morning,"White shark, 7'"
New South Wales,Surfing,M,52,Non_Fatal,N,Morning,White shark
New South Wales,Body boarding ,M,32,Non_Fatal,N,Morning,White shark
North Carolina,Swimming,M,68,Non_Fatal,N,Afternoon,6' to 7' shark
South Carolina,Playing in the water,M,12,Non_Fatal,N,Evening,4' to 5' shark
North Carolina,Swimming,M,18,Non_Fatal,N,Afternoon,Bull shark
Western Cape Province,Body Boarding,M,19,Non_Fatal,N,Afternoon,White shark
Western Cape Province,Surfing,M,23,Non_Fatal,N,Afternoon,"White shark, 2m to 3 m"
South Carolina,Standing,M,43,Non_Fatal,N,Morning,4' shark
North Carolina,Swimming,M,6,Non_Fatal,N,Afternoon,Sandtiger shark
Western Australia,Surfing,F,37,Non_Fatal,N,Morning,White shark
North Carolina,Wading,M,16,Non_Fatal,N,Evening,Bull shark
North Carolina,Wading,F,12,Non_Fatal,N,Afternoon,Bull shark
North Carolina,Boogie boarding,F,13,Non_Fatal,N,Afternoon,4' shark
Florida,Playing,M,11,Non_Fatal,N,Morning,"Bull shark, 5'"
Le Port,Surfing,M,47,Non_Fatal,N,Afternoon,"Bull shark, 2.5 m"
Rangiroa,Spearfishing,M,19,Non_Fatal,N,Morning,1m to 1.2 m shark
Florida,Surfing,M,18,Non_Fatal,N,Morning,5' shark
Eastern Cape Province,Diving,M,29,Non_Fatal,N,Afternoon,"White shark, 3.5 m"
Florida,Wading,M,63,Non_Fatal,N,Afternoon,3- to 4-foot shark
South Australia,Surfing,M,26,Non_Fatal,N,Morning,"White shark, 6 m"
New South Wales,Surf skiing ,M,71,Non_Fatal,N,Morning,"White shark, 3 m"
Saint-Gilles-les-Bains,Surfing,M,13,FATAL,Y,Morning,Bull shark
Florida,Spearfishing,M,70,Non_Fatal,N,Afternoon,Bull shark
Hawaii,Standing / Snorkeling,M,58,Non_Fatal,N,Morning,"Tiger shark, 8 to 12 feet"
Bora Bora,Hand feeding sharks,M,9,Non_Fatal,N,Morning,Blacktip shark
dâ€™Ã‰tang-SalÃ©,Swimming,F,22,FATAL,Y,Evening,"Tiger shark, 3.5 m"
New South Wales,Surfing,M,41,FATAL,Y,Morning,3.5 to 4 m shark
New South Wales,Surfing,M,35,Non_Fatal,N,Morning,2 m to  3 m shark
Queensland,Rowing,M,57,Non_Fatal,N,Morning,"Bull shark, 1.3 m"
Hawaii,Shark fishing,M,20,Non_Fatal,N,Morning,4' shark
Abaco Islands,Snorkeling,F,34,Non_Fatal,N,Afternoon,White shark or oceanic whitetip shark
Eastern Cape Province,Surfing,M,15,Non_Fatal,N,Morning,"Raggedtooth shark, 1.3 m"
Western Australia,Spearfishing,M,17,FATAL,Y,Morning,"White shark, 4 to 5 m"
California,Surfing,M,50,Non_Fatal,N,Morning,"White shark, 8' to 10'"
Victoria,Fishing,M,40,Non_Fatal,N,Morning,1.5 m shark
Queensland,Spearfishing,M,17,FATAL,Y,Morning,Tiger shark
Florida,Surfing,M,44,Non_Fatal,N,Afternoon,2' shark
Hawaii,Snorkeling,M,53,Non_Fatal,N,Afternoon,1.5 m shark
Hawaii,Surfing,F,34,Non_Fatal,N,Morning,"Tiger shark, 12'"
New South Wales,Surfing,F,13,Non_Fatal,N,Morning,1 m shark
Florida,Surfing,M,29,Non_Fatal,N,Morning,Blacktip shark
Florida,Surfing,M,15,Non_Fatal,N,Morning,Blacktip shark
California,Surfing,M,28,Non_Fatal,N,Evening,8' to 10' shark
Western Australia,Surfing,M,23,Non_Fatal,N,Morning,"2 white shark: 13' & 9""8"""
New South Wales,Swimming,M,50,FATAL,Y,Morning,7' shark
Alabama,Fishing ,M,43,Non_Fatal,N,Afternoon,Bull shark
Massachusetts,Kayaking ,F,20,Non_Fatal,N,Evening,"White shark, 12' to 14'"
Florida,Fishing,M,52,Non_Fatal,N,Evening,3' to 4' shark
Florida,Body surfing,F,13,Non_Fatal,N,Afternoon,Spinner shark
Louisiana,Swimming,M,7,Non_Fatal,N,Afternoon," Bull shark, 5'"
South Carolina,Boogie boarding,M,10,Non_Fatal,N,Afternoon,4' tp 5' shark
Western Cape Province,Surfing,M,20,Non_Fatal,N,Afternoon,White shark
Saint-Leu,Surfing,M,51,Non_Fatal,N,Afternoon,1.8 metre shark
Hawaii,Swimming,M,61,Non_Fatal,N,Evening,6' to 8' shark
Florida,Swimming,M,39,Non_Fatal,N,Afternoon,4' shark
South Carolina,Body surfing,M,19,Non_Fatal,N,Evening,4' to 5' shark
Abaco Islands,Spearfishing,M,42,Non_Fatal,N,Afternoon,"Caribbean reef shark, 7' to 8'"
Delaware,Standing,M,16,Non_Fatal,N,Evening," Sandbar shark, 3' to 4'"
South Australia,Body boarding,M,39,Non_Fatal,N,Morning,"Bronze whaler shark, 1.5m"
Florida,Swimming,F,22,Non_Fatal,N,Afternoon,Bull shark
South Australia,Surfing,M,35,Non_Fatal,N,Morning," white shark, 15' "
South Carolina,Swimming,F,40,Non_Fatal,N,Afternoon,4' to 5' shark
Florida,Surfing,M,23,Non_Fatal,N,Afternoon,3' shark
New South Wales,Swimming,F,63,FATAL,Y,Morning,3 m to 4 m white shark
Eastern Cape Province,Swimming,M,66,FATAL,Y,Afternoon,2 m shark
Society Islands,Kitesurfing,M,21,Non_Fatal,N,Afternoon,Blacktip reef shark 
South Island,Surfing,M,28,Non_Fatal,N,Evening,7-gill shark?
North Province,Snorkeling,M,37,Non_Fatal,N,Morning,Reported to involve a bull shark
Western Cape Province,Surfing,M,19,Non_Fatal,N,Morning,"White shark, 3m "
Hawaii,Boogie boarding,M,29,Non_Fatal,N,Morning,"Tiger shark, 10' to 12'"
Florida,Surfing,M,30,Non_Fatal,N,Afternoon,4' to 6' shark
New South Wales,Surfing,M,26,Non_Fatal,N,Evening," Wobbegong shark, 1.6 to 1.8m "
New South Wales,Body boarding,M,19,FATAL,Y,Afternoon,"Tiger shark, 3m "
Western Australia,Surfing,M,35,FATAL,Y,Morning,Thought to involve a white shark
Oregon,Surfing,M,25,Non_Fatal,N,Morning,"White shark, 10 '"
Hawaii,Kiteboarding,M,46,Non_Fatal,N,Afternoon,Tiger shark
Western Australia,Snorkeling,F,60,Non_Fatal,N,Afternoon,"Blacktip reef shark, 1m"
dâ€™Ã‰tang-SalÃ©,Body boarding,M,24,Non_Fatal,N,Afternoon,Thought to involve a bull shark
New South Wales,Surfing,M,41,Non_Fatal,N,Evening,Wobbegong shark
Hawaii,Diving ,M,45,Non_Fatal,N,Afternoon,"Whitetip reef shark, 4' to 6'"
Hawaii,Surfing,M,25,Non_Fatal,N,Morning,Tiger shark
Florida,Wading,M,6,Non_Fatal,N,Evening,Nurse shark?
